Name,Longtitude,Latitude,Address,Area,St,AgencyCode,TEL,TEL2
臺北市立大學,121.5142953,25.0356043,臺北市中正區愛國西路1號,中正區,愛國西路,379049300Q,02-23113040,
臺北市立大學附設實驗國民小學,121.5152463,25.0360732,臺北市中正區公園路29號,中正區,公園路,379049301Y,02-23110395,
臺北市立建國高級中學,121.51224,25.0309205,臺北市中正區南海路56號,中正區,南海路,379051000U,02-23034381,
臺北市立成功高級中學,121.5236872,25.0423335,臺北市中正區濟南路１段71號,中正區,濟南路,379051100U,02-23216256,
臺北市立第一女子高級中學,121.513307,25.041934,臺北市中正區重慶南路１段165號,中正區,重慶南路,379051200U,02-23820484,
臺北市立中山女子高級中學,121.5372124,25.0485124,臺北市中山區長安東路２段141號,中山區,長安東路,379051300U,02-25073148,
臺北市立景美女子高級中學,121.556181,24.9807439,臺北市文山區木新路３段312號,文山區,木新路,379051400U,02-29368847,
臺北市立中正高級中學,121.5152652,25.1070601,臺北市北投區文林北路,北投區,文林北路,379051500U,02-28234811,
臺北市立復興高級中學,121.5016739,25.1435978,臺北市北投區復興四路70號,北投區,復興四路,379051600U,02-28914131,
臺北市立松山高級中學,121.56538700000002,25.0435047,臺北市信義區基隆路１段156號,信義區,基隆路,379051800U,02-27535968,
臺北市立內湖高級中學,121.58662,25.0784076,臺北市內湖區文德路218號,內湖區,文德路,379051900U,02-27977035,
臺北市立大同高級中學,121.5352722,25.0550217,臺北市中山區長春路167號,中山區,長春路,379052000U,02-25054269,
臺北市立麗山高級中學,121.5778933,25.0841176,臺北市內湖區環山路2段100號,內湖區,環山路,379052100U,02-26570435,
臺北市立華江高級中學,121.4963425,25.0285424,臺北市萬華區西藏路213號,萬華區,西藏路,379052200U,02-23019946,
臺北市立明倫高級中學,121.5193385,25.0762461,臺北市大同區承德路3段336號,大同區,承德路,379052300U,02-25961567,
臺北市立和平高級中學,121.554034,25.0186807,臺北市大安區臥龍街,大安區,臥龍街,379052400U,02-27324300,
臺北市立永春高級中學,121.5785567,25.032802,臺北市信義區松山路654號,信義區,松山路,379052500U,02-27272983,
臺北市立陽明高級中學,121.5171309,25.0918395,臺北市士林區中正路510號,士林區,中正路,379052600U,02-28316675,
臺北市立成淵高級中學,121.5191368,25.0609739,臺北市大同區承德路２段235號,大同區,承德路,379052800U,02-25531969,
臺北市立西松高級中學,121.5614539,25.0539672,臺北市松山區健康路,松山區,健康路,379056100U,02-25286618,
臺北市立大理高級中學,121.4912285,25.030857,臺北市萬華區長順街2號,萬華區,長順街,379056200U,02-23026959,
臺北市立大直高級中學,121.543375,25.07886,臺北市中山區北安路420號,中山區,北安路,379056300U,02-25334017,
臺北市立萬芳高級中學,121.5589135,25.0006248,臺北市文山區興隆路3段115巷1號,文山區,興隆路,379056900U,02-22309585,
臺北市立百齡高級中學,121.5229997,25.087055,臺北市士林區承德路４段177號,士林區,承德路,379057000U,02-28831568,
臺北市立南港高級中學,121.5950322,25.0525541,臺北市南港區向陽路21路,南港區,向陽路,379057100U,02-27837863,
臺北市立南湖高級中學,121.6113254,25.0671244,臺北市內湖區康寧路３段,內湖區,康寧路,379057300U,02-26308889,02-26311104
臺北市立中崙高級中學,121.5611946,25.0487226,臺北市松山區八德路4段101號,松山區,八德路,379057400U,02-27535316,
臺北市立育成高級中學,121.6093328,25.0585978,臺北市南港區重陽路366號,南港區,重陽路,379057500U,02-26530475,
臺北市立介壽國民中學,121.5564352,25.0564253,臺北市松山區延壽街401號,松山區,延壽街,379060100X,02-27674496,
臺北市立民生國民中學,121.5667367,25.0598048,臺北市松山區新東街30巷1號,松山區,新東街,379060200X,02-27653433,
臺北市立興雅國民中學,121.57223700000002,25.0364201,臺北市信義區松德路168巷15號,信義區,松德路,379060500X,02-27232771,
臺北市立仁愛國民中學,121.5505879,25.0374832,臺北市大安區仁愛路４段130號,大安區,仁愛路,379060700X,02-23255823,
臺北市立大安國民中學,121.54625,25.0308602,臺北市大安區大安路２段63號,大安區,大安路,379060800X,02-27557131,
臺北市立懷生國民中學,121.5411477,25.0403827,臺北市大安區忠孝東路３段248巷30號,大安區,忠孝東路,379061100X,02-27215078#350,
臺北市立弘道國民中學,121.51529340000002,25.0374875,臺北市中正區公園路21號,中正區,公園路,379061300X,02-23715520,
臺北市立螢橋國民中學,121.5261508,25.0194559,臺北市中正區汀州路3段4號,中正區,汀州路,379061500X,02-23688667,
臺北市立南門國民中學,121.5090687,25.0352657,臺北市中正區廣州街6號,中正區,廣州街,379061700X,02-23142775,
臺北市立萬華國民中學,121.49878909999998,25.0291092,臺北市萬華區西藏路201號,萬華區,西藏路,379061800X,02-23394567,
臺北市立雙園國民中學,121.4926288,25.0275702,臺北市萬華區興義街2號,萬華區,興義街,379062000X,02-23037579,02-23030827
臺北市立建成國民中學,121.5186261,25.0516475,臺北市大同區長安西路37-1號,大同區,長安西路,379062200X,02-25587042,
臺北市立忠孝國民中學,121.5085688,25.0522585,臺北市大同區西寧北路,大同區,西寧北路,379062300X,02-25524890,
臺北市立民權國民中學,121.5138747,25.063724800000006,臺北市大同區重慶北路3段1號,大同區,重慶北路,379062500X,02-25931951,02-25863661
臺北市立蘭州國民中學,121.5159028,25.0678737,臺北市大同區大龍街,大同區,大龍街,379062700X,02-25918269,02-25973816
臺北市立新興國民中學,121.5257781,25.0619755,臺北市中山區林森北路511號,中山區,林森北路,379063300X,02-25714211,
臺北市立誠正國民中學,121.6187775,25.0542493,臺北市南港區富康街1巷24號,南港區,富康街,379063500X,02-27828094,
臺北市立內湖國民中學,121.5886895,25.077035,臺北市內湖區陽光街1號,內湖區,陽光街,379063600X,02-27900843,
臺北市立景美國民中學,121.54294099999998,24.993026500000006,臺北市文山區景中街27號,文山區,景中街,379063700X,02-89353130,
臺北市立興福國民中學,121.5499132,25.0048966,臺北市文山區福興路80號,文山區,福興路,379063800X,02-29322024,
臺北市立木柵國民中學,121.5674462,24.9886272,臺北市文山區木柵路３段102巷12號,文山區,木柵路,379063900X,02-29393031,
臺北市立實踐國民中學,121.5547688,24.9834293,臺北市文山區辛亥路７段67號,文山區,辛亥路,379064000X,02-22362852,
臺北市立北政國民中學,121.5782669,24.9849196,臺北市文山區指南路3段2巷14號,文山區,指南路,379064100X,02-29393651,
臺北市立士林國民中學,121.522645,25.0943734,臺北市士林區中正路345號,士林區,中正路,379064200X,02-88613411,
臺北市立桃源國民中學,121.477339,25.13476,臺北市北投區中央北路４段48號,北投區,中央北路,379064400X,02-28929633,
臺北市立至善國民中學,121.5555851,25.1036391,臺北市士林區至善路2段360號,士林區,至善路,379064500X,02-28411350,
臺北市立格致國民中學,121.5466207,25.131850600000003,臺北市士林區仰德大道４段,士林區,仰德大道,379064600X,02-28610079,
臺北市立北投國民中學,121.50460990000002,25.134939000000006,臺北市北投區溫泉路62號,北投區,溫泉路,379064700X,02-28912091,
臺北市立新民國民中學,121.507636,25.138102,臺北市北投區新民路10號,北投區,新民路,379064800X,02-28979001,
臺北市立明德國民中學,121.5186485,25.1080937,臺北市北投區明德路50號,北投區,明德路,379064900X,02-28232539,
臺北市立永吉國民中學,121.5741587,25.0483336,臺北市信義區松隆路161號,信義區,松隆路,379065000X,02-27649066,
臺北市立蘭雅國民中學,121.5309054,25.110566,臺北市士林區忠誠路2段51號,士林區,忠誠路,379065100X,02-28329377,
臺北市立龍山國民中學,121.5048076,25.036452800000006,臺北市萬華區南寧路,萬華區,南寧路,379065200X,02-23362789,
臺北市立中山國民中學,121.5455308,25.0606185,臺北市松山區復興北路361巷7號,松山區,復興北路,379065300X,02-27126701,
臺北市立麗山國民中學,121.5756834,25.0816032,臺北市內湖區內湖路１段629巷42號,內湖區,內湖路,379065400X,02-27991867,
臺北市立瑠公國民中學,121.586014,25.0388829,臺北市信義區福德街,信義區,福德街,379065500X,02-27261481,
臺北市立中正國民中學,121.5219754,25.0323588,臺北市中正區愛國東路158號,中正區,愛國東路,379065600X,02-23916697,
臺北市立福安國民中學,121.4880705,25.1028546,臺北市士林區延平北路７段250號,士林區,延平北路,379065700X,02-28108766,
臺北市立五常國民中學,121.543251,25.0634804,臺北市中山區復興北路430巷1號,中山區,復興北路,379065900X,02-25014320,
臺北市立三民國民中學,121.5864073,25.069154,臺北市內湖區民權東路6段45號,內湖區,民權東路,379066000X,02-27924772,
臺北市立景興國民中學,121.5442841,24.9962215,臺北市文山區景興路46巷2號,文山區,景興路,379066100X,02-29323794,
臺北市立信義國民中學,121.5675836,25.0286896,臺北市信義區松仁路158巷1號,信義區,松仁路,379066200X,02-27236771,
臺北市立敦化國民中學,121.5467135,25.0515711,臺北市松山區南京東路３段300號,松山區,南京東路,379066300X,02-87717890,
臺北市立西湖國民中學,121.5679281,25.086416600000003,臺北市內湖區環山路１段,內湖區,環山路,379066400X,02-27991817,
臺北市立東湖國民中學,121.61942179999998,25.0721649,臺北市內湖區康樂街131號,內湖區,康樂街,379067200X,02-26330373,
臺北市立石牌國民中學,121.5095241,25.1126143,臺北市北投區石牌路１段139號,北投區,石牌路,379067300X,02-28224682,
臺北市立金華國民中學,121.533178,25.0312012,臺北市大安區新生南路２段32號,大安區,新生南路,379067500X,02-33931799,
臺北市立長安國民中學,121.5318545,25.0493929,臺北市中山區松江路70巷11號,中山區,松江路,379067700X,02-25112382,
臺北市立北安國民中學,121.5415678,25.0777783,臺北市中山區明水路325號,中山區,明水路,379067800X,02-25333888,02-25333888
臺北市立古亭國民中學,121.5110473,25.0246132,臺北市中正區中華路2段465號,中正區,中華路,379067900X,02-23090986,
臺北市立重慶國民中學,121.5179978,25.0759232,臺北市大同區敦煌路19號,大同區,敦煌路,379068000X,02-25948631,
臺北市立成德國民中學,121.5877028,25.045021,臺北市南港區東新街108巷23號,南港區,東新街,379068200X,02-26515636,
臺北市立明湖國民中學,121.6106431,25.070619600000004,臺北市內湖區康寧路３段60號,內湖區,康寧路,379068300X,02-26320616,
臺北市立關渡國民中學,121.4671448,25.1198847,臺北市北投區知行路212號,北投區,知行路,379068500X,02-28581770,
臺北市立龍門國民中學,121.5382078,25.0246733,臺北市大安區建國南路２段269號,大安區,建國南路,379068900X,02-27330299,
臺北市立濱江國民中學,121.5607499,25.07955,臺北市中山區樂群二路262號,中山區,樂群二路,379069000X,02-85020126,
臺北市民族實驗國民中學,121.5388738,25.0111861,臺北市大安區羅斯福路４段113巷13號,大安區,羅斯福路,379069500X,02-27322935,
臺北市立大學附設實驗國民小學,121.5152463,25.0360732,臺北市中正區公園路29號,中正區,公園路,379049301Y,02-23110395,
臺北市松山區松山國民小學,121.5776418,25.0500161,臺北市松山區八德路四段746號,松山區,八德路,379070100Y,02-27672907,
臺北市松山區西松國民小學,121.5634876,25.0523018,臺北市松山區三民路5號,松山區,三民路,379070200Y,02-27609221#100,
臺北市松山區敦化國民小學,121.5485313,25.0491742,臺北市松山區敦化北路2號,松山區,敦化北路,379070800Y,02-27414065,
臺北市松山區民生國民小學,121.5521795,25.0565153,臺北市松山區敦化北路199巷18號,松山區,敦化北路,379071000Y,02-27122452,
臺北市松山區民權國民小學,121.5623038,25.0623873,臺北市松山區民權東路4段200號,松山區,民權東路,379071200Y,02-27652327#650,
臺北市大安區龍安國民小學,121.5348854,25.0239215,臺北市大安區新生南路３段33號,大安區,新生南路,379071400Y,02-23632077,
臺北市大安區大安國民小學,121.55038190000002,25.0189254,臺北市大安區臥龍街129號,大安區,臥龍街,379071500Y,02-27322332,02-27328459
臺北市大安區幸安國民小學,121.5349702,25.037684,臺北市大安區仁愛路3段22號,大安區,仁愛路,379071600Y,02-27074191,
臺北市大安區建安國民小學,121.5460728,25.0309894,臺北市大安區大安路２段,大安區,大安路,379071700Y,02-27077119,
臺北市大安區仁愛國民小學,121.5521443,25.0358446,臺北市大安區安和路１段60號,大安區,安和路,379071800Y,02-27095010,
臺北市大安區金華國民小學,121.52776670000002,25.0322766,臺北市大安區愛國東路79巷11號,大安區,愛國東路,379071900Y,02-23917402,
臺北市大同區延平國民小學,121.516736,25.069322,臺北市大同區大龍街187巷1號(第二校區),大同區,大龍街,379074400Y,02-25942439,
臺北市大同區大橋國民小學,121.5129795,25.0641897,臺北市大同區重慶北路3段2號,大同區,重慶北路,379074500Y,02-25944413,
臺北市大同區雙蓮國民小學,121.5188024,25.0602178,臺北市大同區錦西街,大同區,錦西街,379074600Y,02-25570309,
臺北市大同區大同國民小學,121.5161397,25.0648723,臺北市大同區大龍街51號,大同區,大龍街,379074700Y,02-25965407,
臺北市大同區大龍國民小學,121.5166925,25.073409,臺北市大同區哈密街47號,大同區,哈密街,379074800Y,02-25942635,
臺北市中山區中山國民小學,121.5378624,25.0620999,臺北市中山區民權東路１段69號,中山區,民權東路,379075000Y,02-25914085,
